shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
3eae3196-8fdf-4760-8a66-21b48a13f1dc,42.3220702899736,-71.3979298709589,113,16064.3
f367b809-4934-4ba5-b7ef-2e80c636be42,42.2907729322179,-71.3929946060774,5,2731.22
54365a02-9e28-4fe0-a588-fe484d81157e,42.2770976887404,-71.4153910526866,6,858.66
30a9a51f-025f-476a-a501-9cda88fadee8,42.2899253541187,-71.4134303577799,122,20518.59
f2e38f84-2a97-4d6c-9d9a-182cd2927222,42.2985499977201,-71.4255029812755,27,4630.2
1291f9da-6233-4191-bfff-82c2787d82f2,42.2968709347767,-71.4836854626945,18,9931.59
3eae3196-8fdf-4760-8a66-21b48a13f1dc,42.3079967384336,-71.4028034450295,90,12922.4
bd433f74-e551-4a3c-91ae-4a735e4e28eb,42.3012952388105,-71.3879104785866,42,6313.04
018f3677-ec1d-408c-bd2c-782f608a9df4,42.346049239996,-71.55065486137,57,9398.31
4cebf1c5-54c8-4e64-82fe-a3337ad3146f,42.3024392010235,-71.3609475708573,63,15201.42
161f0f86-97f5-4dfd-a54b-3ec09e77872a,42.2939325746258,-71.4671415965046,30,11808.95
bd433f74-e551-4a3c-91ae-4a735e4e28eb,42.3036354663155,-71.3785026299061,21,5117.49
afc65aea-c4e8-4c68-ab68-956699da953a,42.2416026736261,-71.4316988844692,23,5477.71
320755bd-42ae-4afa-92ee-4790802c99e4,42.300620663203,-71.3502348274132,5,2678.98
dfc8cf0c-de43-47ea-9ed6-b7d8430eab32,42.346049239996,-71.55065486137,0,0
747d8707-5db7-4c6b-b0f3-86a0d2509306,42.2980484246044,-71.494903802568,60,11657.62
a19fb124-594e-4ddd-b6da-f8ca9171f8db,42.3543466540782,-71.5538051160458,12,2459.3
ae50df4e-b25b-429a-99d2-e4f28b1a7944,42.2838273515598,-71.3674505870015,10,4063.63
9ffea29d-1305-44de-bab8-8ccc2cbd144b,42.2925525780053,-71.4003881156676,6,2131.22
afc65aea-c4e8-4c68-ab68-956699da953a,42.2401408696259,-71.4320730526491,25,5672.46
325a045e-c97d-445a-89dc-9075e4d1d00f,42.3010632277169,-71.3880338602086,14,5722.65
018f3677-ec1d-408c-bd2c-782f608a9df4,42.3623409785236,-71.5528998704493,46,7097.46
dfc8cf0c-de43-47ea-9ed6-b7d8430eab32,42.2968736169859,-71.4834507693917,32,12879.96
837fca5f-265a-4a4c-9c28-0c273254ae78,42.355019888581,-71.5542114707358,17,5020.88
e1bd887f-92a6-454a-b421-a0377f10ee01,42.2993197917533,-71.3773533032747,18,11195.61
a19fb124-594e-4ddd-b6da-f8ca9171f8db,42.3415981138705,-71.560132447489,19,5039.1
23be88fa-b8dd-4094-bb1d-0092c0557a1c,42.3007923245902,-71.4920941884574,36,10221.38
636e5ba5-1fdd-459c-82bb-59f2aead5ecf,42.3084942882356,-71.2551022324027,30,4938.55
1c130b25-ee37-4058-b9cb-a955999e4e80,42.2989053904358,-71.378746710941,91,23007.19
7ae040a5-6c96-48f1-ad52-551743a1a458,42.2884407513404,-71.3836390604758,0,0
ab5deaba-93a4-4680-9cf5-808df07f2607,42.2926276798622,-71.4879126243539,21,8934.74
837fca5f-265a-4a4c-9c28-0c273254ae78,42.3466125039227,-71.5508332282801,30,6772.58
636e5ba5-1fdd-459c-82bb-59f2aead5ecf,42.3019724966271,-71.383673929195,102,18514.18
94059766-6fcf-458a-bee2-3d8856a98c17,42.27655464,-71.41777396,55,18122.63
0eda0ce6-27a8-41c6-af53-39f9365143cb,42.2988423585202,-71.3775853143683,22,8300.82
16c57625-ade0-4ab0-9451-056179830dfc,42.3904679650347,-71.5648209491266,38,6250.49
420ecf08-6cea-4604-b918-890ae8b88a60,42.2922213251723,-71.3994332492014,13,3188.24
636e5ba5-1fdd-459c-82bb-59f2aead5ecf,42.3052823427488,-71.2531857939473,36,5411.65
e2961827-77cf-4cf6-bafb-7d0da257ec97,42.3006997883737,-71.3525924892779,26,10376.96
